battery_health,battery_cycles,screen_on_time,charging_frequency,fast_charging,charging_overnight,overheating,drop_history,water_damage,sensor_issues,battery_bulging,screen_cracked,buttons_not_working,ram_usage,storage_usage,age_months,overcharged,label
63,548,9,5,1,0,0,0,0,1,0,0,0,79,61,30,0,Needs Maintenance
51,698,3,1,0,1,0,0,0,0,0,1,0,59,60,39,1,Needs Maintenance
42,898,5,3,0,1,0,0,0,0,0,0,0,87,25,41,0,Critical
73,337,9,3,0,1,0,0,1,0,0,0,0,61,68,7,0,Needs Maintenance
56,727,6,3,0,0,0,0,0,0,0,0,0,54,74,11,0,Needs Maintenance
64,547,2,1,1,1,0,1,0,1,0,0,0,67,68,14,1,Needs Maintenance
69,394,8,2,0,1,0,0,0,0,0,0,0,100,50,13,0,Needs Maintenance
39,874,2,2,0,0,1,0,0,0,0,0,0,69,54,25,0,Critical
46,887,5,2,0,1,1,0,0,0,0,0,0,80,52,33,0,Critical
53,703,7,4,1,1,0,0,0,0,0,0,0,49,63,22,0,Needs Maintenance
67,494,4,3,0,0,0,1,0,1,0,0,0,46,78,19,0,Needs Maintenance
47,803,6,4,0,0,0,1,0,0,0,0,0,66,73,34,0,Needs Maintenance
47,737,2,1,1,1,0,1,0,0,0,1,0,75,20,33,1,Needs Maintenance
52,709,4,2,0,0,0,0,0,0,0,0,0,74,65,23,0,Needs Maintenance
55,659,5,1,1,0,0,0,0,0,0,1,0,78,62,40,0,Needs Maintenance
68,515,4,1,0,1,0,1,1,0,0,1,0,66,79,7,0,Needs Maintenance
66,488,3,1,0,1,0,0,0,0,0,0,0,65,66,28,1,Needs Maintenance
75,456,2,1,1,1,0,1,0,0,0,0,0,64,20,20,0,Needs Maintenance
67,467,6,3,0,1,0,1,0,0,0,1,0,93,66,30,1,Needs Maintenance
76,405,3,1,0,1,0,0,0,0,0,1,0,69,68,21,1,Healthy
67,525,8,2,1,0,0,0,1,0,0,0,0,93,62,23,0,Needs Maintenance
66,557,5,2,1,0,0,0,0,0,0,0,0,76,32,30,0,Needs Maintenance
55,601,2,1,1,1,0,1,0,0,0,0,0,97,79,27,1,Needs Maintenance
45,782,6,2,0,1,0,1,0,1,0,0,0,75,36,24,1,Needs Maintenance
41,824,4,3,0,0,1,0,0,0,0,0,0,46,54,31,0,Critical
71,364,3,2,0,1,0,0,0,0,0,0,0,81,79,18,0,Needs Maintenance
59,565,3,1,0,0,0,0,0,0,0,0,0,94,95,40,0,Needs Maintenance
62,574,5,2,0,0,0,0,0,1,0,0,0,67,74,25,0,Needs Maintenance
69,538,2,2,0,1,0,0,0,0,0,0,0,78,54,20,1,Needs Maintenance
50,762,6,3,1,1,0,0,0,1,0,0,0,57,70,25,1,Critical
50,774,2,1,1,0,0,0,0,0,0,0,0,78,77,24,0,Critical
68,509,4,1,1,1,0,0,0,0,0,0,1,72,31,16,1,Needs Maintenance
70,411,5,3,1,1,0,0,0,0,0,1,0,43,37,11,0,Needs Maintenance
56,607,2,1,1,1,0,0,0,0,0,1,0,53,60,10,1,Needs Maintenance
66,560,4,1,0,1,0,1,0,1,0,0,0,56,20,6,0,Needs Maintenance
46,892,7,3,0,1,0,0,1,0,0,1,0,50,47,28,1,Needs Maintenance
45,783,2,1,1,1,1,1,0,1,0,0,0,64,84,20,1,Needs Maintenance
45,782,6,4,1,1,0,0,0,0,0,0,0,95,57,58,1,Critical
67,570,3,1,1,1,0,1,1,0,0,0,0,68,64,28,1,Needs Maintenance
27,1133,3,2,0,1,1,0,0,0,0,0,0,48,87,44,1,Critical
61,657,8,2,1,1,0,0,0,0,0,1,0,73,51,20,0,Needs Maintenance
55,751,6,3,0,0,0,0,0,0,0,0,0,90,73,30,0,Needs Maintenance
68,433,2,1,1,1,0,0,0,0,0,0,0,59,96,17,0,Needs Maintenance
64,540,9,4,1,1,0,1,0,0,0,0,0,50,74,21,1,Needs Maintenance
67,538,7,3,0,1,0,0,0,0,0,1,1,30,78,30,1,Needs Maintenance
71,451,2,1,1,0,0,1,0,0,0,1,0,57,100,20,0,Needs Maintenance
44,780,5,2,0,0,1,0,0,0,0,0,0,82,84,52,0,Critical
81,214,3,1,1,0,0,0,0,0,0,1,0,84,100,12,0,Needs Maintenance
66,501,4,1,1,1,0,1,0,0,0,0,0,59,63,9,1,Needs Maintenance
55,668,2,1,0,1,0,1,0,0,0,1,0,70,62,24,1,Needs Maintenance
61,618,4,1,1,1,0,0,0,0,0,0,0,75,42,19,0,Needs Maintenance
42,916,4,2,0,1,0,0,0,0,0,0,0,78,36,49,1,Critical
72,414,2,1,1,1,0,0,1,0,0,1,0,72,77,11,1,Needs Maintenance
50,706,5,1,0,0,0,0,1,0,0,1,0,51,76,3,0,Needs Maintenance
60,558,3,2,1,1,0,0,1,0,0,0,0,73,63,36,0,Needs Maintenance
56,588,6,2,1,1,0,0,0,0,0,0,0,70,34,3,1,Needs Maintenance
59,660,6,2,0,1,0,1,0,1,0,0,0,76,63,43,0,Needs Maintenance
72,502,5,2,1,0,0,0,0,0,0,0,0,85,100,13,0,Needs Maintenance
55,653,3,1,0,1,0,0,0,0,0,0,0,52,57,5,1,Needs Maintenance
49,829,4,1,0,0,0,1,0,0,0,0,0,54,59,39,0,Needs Maintenance
30,1073,5,1,1,1,0,1,0,1,0,0,0,55,91,33,0,Needs Maintenance
47,820,6,2,1,0,1,1,0,0,0,0,1,89,100,36,0,Needs Maintenance
53,675,4,1,0,1,0,0,0,0,0,0,0,52,66,18,0,Needs Maintenance
67,501,4,1,1,0,0,0,0,1,0,0,0,75,86,20,0,Needs Maintenance
59,602,3,2,0,1,0,0,1,0,0,0,0,100,31,25,1,Needs Maintenance
69,494,7,3,0,0,0,0,0,1,0,0,0,47,27,28,0,Needs Maintenance
65,544,7,3,1,0,0,0,0,0,0,0,0,42,73,9,0,Needs Maintenance
70,487,6,4,0,1,0,0,0,0,0,0,0,70,98,5,0,Needs Maintenance
71,452,2,2,1,1,0,1,0,0,0,0,0,65,54,17,1,Needs Maintenance
53,750,3,2,1,1,0,0,0,0,0,0,0,56,87,16,1,Needs Maintenance
39,876,4,1,1,0,0,0,0,1,0,1,0,58,94,35,0,Needs Maintenance
71,515,4,3,0,1,0,1,0,0,0,0,0,88,66,10,0,Needs Maintenance
46,860,4,1,1,1,0,0,0,0,0,1,0,62,37,25,0,Needs Maintenance
42,826,3,2,0,1,0,1,0,1,0,1,0,50,35,25,0,Needs Maintenance
62,535,4,2,1,1,0,0,0,1,0,0,0,75,51,19,0,Needs Maintenance
65,613,4,2,0,0,0,1,0,0,0,0,0,67,80,37,0,Needs Maintenance
57,608,4,1,1,1,0,0,0,0,0,1,0,64,93,28,1,Needs Maintenance
67,441,6,3,1,0,0,1,1,1,0,0,1,71,42,18,0,Needs Maintenance
56,622,6,4,1,0,0,0,0,0,0,0,0,65,48,6,0,Needs Maintenance
73,395,6,3,0,0,0,0,1,0,0,0,1,58,56,13,0,Needs Maintenance
36,1003,9,5,0,1,0,0,0,1,1,0,0,77,84,49,1,Critical
61,635,3,2,0,0,0,0,0,0,0,0,0,96,34,33,0,Needs Maintenance
51,721,4,1,1,1,0,1,0,0,0,0,0,82,67,22,1,Needs Maintenance
55,716,6,3,1,1,0,1,0,0,0,0,0,73,46,20,0,Needs Maintenance
41,906,3,2,1,0,0,1,0,0,0,1,1,47,59,41,0,Needs Maintenance
42,913,3,1,0,1,0,0,1,1,0,1,0,54,35,31,0,Needs Maintenance
69,471,6,3,1,0,0,1,0,0,0,0,0,52,68,3,0,Needs Maintenance
86,287,6,2,1,0,0,1,0,0,0,0,0,71,54,7,0,Healthy
42,799,6,4,0,1,1,0,0,0,0,0,0,79,47,32,0,Critical
83,311,7,4,1,1,0,0,0,1,0,0,0,70,66,18,1,Healthy
60,559,4,2,0,0,0,0,1,0,0,0,0,98,70,25,0,Needs Maintenance
83,279,6,3,0,1,0,0,0,0,0,0,0,53,59,20,0,Healthy
58,576,4,2,1,0,0,0,0,0,0,0,0,58,47,24,0,Needs Maintenance
35,910,2,2,1,1,0,1,0,0,0,0,0,83,72,17,1,Needs Maintenance
31,1101,3,1,0,1,1,0,0,0,1,0,1,73,61,50,1,Critical
60,628,6,3,0,0,0,1,0,0,0,1,0,68,52,29,0,Needs Maintenance
69,493,5,1,1,0,0,0,0,1,0,0,0,68,73,23,0,Needs Maintenance
41,895,2,1,1,1,0,0,0,0,0,0,0,48,58,37,1,Critical
54,728,4,3,0,1,0,0,0,0,0,1,0,68,80,51,1,Needs Maintenance
74,330,4,2,1,0,0,0,0,0,0,0,0,94,33,14,0,Needs Maintenance
62,571,7,4,1,0,0,0,1,0,0,0,0,70,72,15,0,Needs Maintenance
41,817,4,1,1,0,0,1,0,0,0,0,0,67,63,21,0,Needs Maintenance
47,721,7,3,1,1,1,1,0,0,0,0,1,80,64,15,0,Needs Maintenance
56,689,7,4,0,1,0,0,0,0,0,0,0,59,40,23,1,Needs Maintenance
73,413,6,3,0,1,0,1,0,0,0,0,0,84,41,5,1,Needs Maintenance
63,589,6,2,0,0,0,0,0,0,0,0,0,54,73,19,0,Needs Maintenance
43,920,2,1,0,1,1,1,0,0,0,0,0,52,73,16,0,Needs Maintenance
50,702,7,2,0,1,0,0,0,0,0,0,0,59,66,28,1,Critical
44,889,7,2,1,1,0,0,0,0,0,0,0,57,59,19,0,Critical
46,840,3,2,1,1,0,1,0,0,0,0,0,66,47,38,0,Needs Maintenance
58,644,7,3,0,1,0,1,1,0,0,1,0,72,94,31,0,Needs Maintenance
69,501,3,1,0,0,0,1,0,0,0,1,0,61,74,33,0,Needs Maintenance
29,1015,7,4,0,0,0,0,0,0,0,1,0,63,89,55,0,Needs Maintenance
57,695,3,3,1,1,0,1,0,1,0,0,0,64,47,16,0,Needs Maintenance
53,666,7,3,0,1,0,0,1,1,0,0,0,43,37,27,1,Needs Maintenance
63,587,3,1,1,1,0,1,0,1,0,0,1,66,63,26,1,Needs Maintenance
80,289,2,1,0,1,0,1,0,0,0,0,0,96,78,3,1,Needs Maintenance
54,659,3,3,0,1,0,0,0,0,0,0,1,78,71,8,0,Needs Maintenance
59,696,4,2,0,0,0,1,0,0,0,0,0,82,100,21,0,Needs Maintenance
73,487,5,3,0,1,0,0,0,1,0,1,1,63,72,13,1,Needs Maintenance
60,599,2,1,1,1,0,0,0,1,0,0,0,54,79,21,1,Needs Maintenance
64,543,5,1,0,1,0,1,0,0,0,0,0,65,53,6,0,Needs Maintenance
75,324,5,3,0,1,0,1,0,0,0,1,0,100,55,7,0,Needs Maintenance
57,727,8,3,0,1,0,0,1,1,0,0,1,66,50,27,1,Needs Maintenance
76,397,9,3,1,1,0,1,0,1,0,0,0,94,79,16,1,Needs Maintenance
57,613,2,1,0,0,0,0,0,1,0,1,0,88,53,18,0,Needs Maintenance
75,403,3,1,1,1,0,0,0,0,0,0,0,82,37,3,0,Needs Maintenance
67,481,7,2,0,1,0,0,0,0,0,1,0,61,61,17,1,Needs Maintenance
85,172,2,1,1,1,0,1,1,0,0,0,0,85,72,3,0,Needs Maintenance
60,635,4,1,1,1,0,0,0,0,0,0,0,78,93,23,1,Needs Maintenance
58,698,5,2,1,1,0,1,1,0,0,1,0,80,79,33,0,Needs Maintenance
58,669,2,1,0,1,0,0,0,0,0,0,1,82,93,9,0,Needs Maintenance
58,649,2,1,0,1,0,1,0,0,0,0,0,70,89,34,1,Needs Maintenance
45,801,5,1,1,1,0,0,0,0,0,0,0,71,64,40,1,Critical
58,718,4,3,0,1,0,1,0,0,0,0,0,62,63,17,1,Needs Maintenance
80,281,2,2,0,1,0,1,0,0,0,0,0,81,76,12,1,Healthy
81,367,4,2,1,1,0,0,0,0,0,1,0,81,73,18,1,Healthy
46,748,6,2,1,1,0,0,0,0,0,1,0,59,21,23,0,Needs Maintenance
58,678,5,2,1,0,0,0,0,0,0,0,0,68,72,13,0,Needs Maintenance
52,656,3,3,1,1,0,0,0,0,0,0,0,100,65,25,0,Needs Maintenance
81,346,5,1,1,0,0,0,0,0,0,0,0,55,44,3,0,Healthy
69,415,3,2,1,1,0,0,0,0,0,0,0,100,100,6,0,Needs Maintenance
49,709,3,1,0,1,0,0,0,1,0,0,0,59,37,23,0,Critical
74,321,5,2,1,0,0,0,0,0,0,0,0,75,74,3,0,Needs Maintenance
58,700,3,3,1,1,0,0,0,0,0,0,0,44,89,28,1,Needs Maintenance
66,578,7,2,1,1,0,1,1,1,0,1,0,56,67,3,0,Needs Maintenance
58,642,10,4,1,0,0,1,0,0,0,1,0,39,89,28,0,Needs Maintenance
55,652,7,3,0,0,0,1,0,1,0,1,0,39,82,20,0,Needs Maintenance
42,842,4,2,0,0,0,0,0,0,0,0,0,90,53,37,0,Critical
51,715,4,2,0,1,0,0,0,0,0,1,0,69,72,25,0,Needs Maintenance
48,810,4,2,0,0,0,0,0,0,0,0,0,58,69,29,0,Critical
47,750,8,3,1,1,1,0,0,0,0,0,0,92,87,32,0,Critical
66,473,3,2,1,0,0,0,0,0,0,0,1,64,69,12,0,Needs Maintenance
68,552,5,1,1,1,0,0,0,1,0,1,1,71,88,13,1,Needs Maintenance
63,634,2,1,1,1,0,1,0,0,0,1,0,66,67,4,1,Needs Maintenance
66,463,4,3,0,0,0,0,0,0,0,0,0,67,65,29,0,Needs Maintenance
66,435,9,5,1,0,0,0,0,0,0,0,0,90,100,8,0,Needs Maintenance
74,331,4,2,0,0,0,1,0,0,0,0,0,80,62,10,0,Needs Maintenance
58,629,6,2,0,1,0,1,0,0,0,1,0,54,91,40,1,Needs Maintenance
75,346,3,1,0,1,0,0,1,0,0,0,0,43,52,26,0,Needs Maintenance
73,494,4,1,0,1,0,0,0,0,0,0,0,64,71,20,1,Needs Maintenance
74,473,5,2,0,1,0,1,0,0,0,0,0,69,65,26,1,Needs Maintenance
64,550,6,4,1,1,0,0,0,0,0,0,0,66,36,28,0,Needs Maintenance
49,797,9,5,1,0,0,0,0,0,0,0,0,80,63,28,0,Critical
62,540,6,3,1,0,0,0,0,0,0,0,1,72,68,25,0,Needs Maintenance
63,637,2,1,0,0,0,1,0,0,0,0,0,67,20,30,0,Needs Maintenance
69,431,5,2,1,1,0,0,0,1,0,0,0,72,65,15,1,Needs Maintenance
70,507,8,3,1,0,0,0,0,0,0,0,0,68,61,32,0,Needs Maintenance
70,533,2,1,1,1,0,0,0,0,0,0,1,68,47,18,0,Needs Maintenance
53,729,6,2,0,1,0,0,0,0,0,0,0,66,29,22,0,Needs Maintenance
67,545,8,4,0,0,0,0,0,0,0,0,0,63,58,23,0,Needs Maintenance
58,613,4,2,0,1,0,0,0,0,0,0,0,59,66,13,1,Needs Maintenance
48,810,2,2,1,1,1,0,0,1,0,0,0,50,80,6,0,Critical
73,449,6,2,1,0,0,0,0,0,0,0,0,80,32,20,0,Needs Maintenance
61,658,4,1,0,0,0,0,0,0,0,0,0,80,37,26,0,Needs Maintenance
66,466,5,3,0,0,0,1,0,0,0,1,0,83,56,25,0,Needs Maintenance
75,458,3,2,0,1,0,0,0,0,0,0,0,90,74,3,0,Needs Maintenance
49,753,6,4,1,1,0,0,0,0,0,0,0,89,100,37,1,Critical
49,830,3,1,0,1,0,0,0,1,0,0,1,76,96,38,0,Critical
51,684,5,2,0,0,0,0,0,0,0,0,0,79,44,19,0,Needs Maintenance
65,489,4,3,0,0,0,1,0,0,0,0,0,79,84,3,0,Needs Maintenance
64,589,4,2,0,1,0,0,0,0,0,0,0,63,78,26,0,Needs Maintenance
44,790,5,2,1,0,0,0,0,0,0,1,0,84,76,29,0,Needs Maintenance
61,548,8,4,0,1,0,0,0,0,0,0,1,91,83,26,0,Needs Maintenance
54,708,6,3,1,1,0,0,0,0,0,0,0,44,61,38,0,Needs Maintenance
57,712,6,3,0,1,0,1,0,0,0,1,0,81,71,37,0,Needs Maintenance
51,746,5,3,0,0,0,0,0,0,0,0,0,45,52,23,0,Needs Maintenance
41,879,4,3,0,1,0,1,0,0,0,0,0,94,59,45,1,Needs Maintenance
66,441,4,3,0,0,0,1,0,0,0,1,0,64,20,19,0,Needs Maintenance
48,741,5,1,1,1,0,1,0,1,0,0,1,83,40,51,1,Needs Maintenance
56,734,4,1,0,1,0,0,1,1,0,0,0,77,25,31,0,Needs Maintenance
36,994,6,3,0,1,0,0,0,0,0,1,0,81,46,31,1,Needs Maintenance
53,715,2,1,1,0,0,0,0,0,0,0,0,57,69,36,0,Needs Maintenance
51,754,5,1,0,1,0,0,0,0,0,1,0,66,80,41,1,Needs Maintenance
59,682,5,1,1,1,0,1,0,0,0,1,0,77,34,15,1,Needs Maintenance
39,844,7,4,1,0,1,0,0,0,1,0,0,59,30,33,0,Critical
39,901,5,2,1,1,0,0,0,0,0,1,0,64,77,35,1,Needs Maintenance
50,711,2,1,1,1,0,0,0,0,0,0,0,55,47,23,1,Critical
43,877,5,1,0,1,0,0,0,1,0,0,0,65,88,31,0,Critical
57,674,5,3,0,0,0,0,0,0,0,0,0,74,100,29,0,Needs Maintenance
77,432,4,1,0,0,0,1,0,1,0,0,0,72,53,5,0,Healthy
31,966,3,2,1,0,0,0,0,0,0,0,0,67,89,38,0,Critical
76,394,3,3,1,0,0,0,0,1,0,0,0,64,58,27,0,Healthy
48,818,2,1,1,1,0,0,0,0,0,1,0,53,41,33,0,Needs Maintenance
70,528,3,3,0,0,0,0,0,0,0,1,0,65,55,18,0,Needs Maintenance
40,835,6,3,1,0,1,0,0,0,0,1,0,85,78,27,0,Needs Maintenance
40,852,6,2,1,0,1,1,0,0,0,0,0,74,100,23,0,Needs Maintenance
63,644,6,4,1,1,0,0,0,0,0,0,0,79,79,23,1,Needs Maintenance
60,683,2,1,0,1,0,0,0,1,0,0,0,72,72,25,0,Needs Maintenance
62,526,8,4,1,0,0,0,0,0,0,1,1,100,49,8,0,Needs Maintenance
51,668,6,4,0,0,0,1,0,0,0,0,0,98,85,3,0,Needs Maintenance
50,757,6,3,0,1,0,0,1,0,0,0,0,65,61,43,1,Critical
46,779,7,4,1,0,1,0,0,0,0,0,0,76,67,44,0,Critical
27,1119,3,1,1,1,1,0,0,0,0,0,0,100,68,60,1,Critical
85,263,8,3,1,1,0,0,0,1,0,1,0,74,87,4,0,Needs Maintenance
73,338,3,2,1,1,0,0,0,0,0,0,0,66,100,24,0,Needs Maintenance
58,675,2,1,0,1,0,0,0,0,0,0,0,50,62,11,1,Needs Maintenance
58,647,2,1,0,0,0,0,0,0,0,1,0,50,68,38,0,Needs Maintenance
58,563,9,3,0,1,0,1,0,0,0,0,0,49,70,33,0,Needs Maintenance
69,552,4,2,0,1,0,1,0,1,0,0,0,55,57,5,1,Needs Maintenance
60,647,7,2,1,0,0,1,0,0,0,1,0,64,77,10,0,Needs Maintenance
72,485,2,1,1,0,0,1,0,0,0,1,0,52,73,23,0,Needs Maintenance
58,655,6,4,1,0,0,1,0,0,0,0,0,96,68,13,0,Needs Maintenance
55,660,4,3,1,1,0,0,0,0,0,1,0,76,60,15,1,Needs Maintenance
49,796,2,1,1,0,0,0,0,0,0,0,0,57,60,39,0,Critical
51,811,4,2,1,1,0,0,1,0,0,0,0,46,82,37,0,Needs Maintenance
58,644,2,1,1,0,0,0,1,0,0,1,0,81,52,26,0,Needs Maintenance
69,440,8,2,1,1,0,0,0,1,0,0,0,72,75,6,0,Needs Maintenance
72,359,5,2,1,1,0,0,0,1,0,0,0,81,64,6,1,Needs Maintenance
62,593,7,4,1,0,0,0,0,0,0,0,0,70,100,6,0,Needs Maintenance
32,1076,4,2,1,1,0,1,1,0,0,0,0,57,37,46,1,Needs Maintenance
86,220,3,1,0,1,0,0,0,1,0,0,0,62,89,6,0,Needs Maintenance
47,823,6,2,1,1,1,1,0,0,0,0,0,51,49,18,1,Needs Maintenance
91,138,6,3,0,1,0,0,0,0,0,1,0,86,37,6,0,Needs Maintenance
68,454,6,4,0,1,0,1,0,0,0,0,0,69,100,14,0,Needs Maintenance
61,598,4,1,0,1,0,0,0,0,0,1,0,95,92,27,1,Needs Maintenance
47,814,7,2,0,0,1,0,0,1,0,0,1,67,26,30,0,Critical
79,389,6,4,0,1,0,1,0,1,0,0,0,87,54,8,0,Needs Maintenance
80,340,3,3,1,0,0,0,0,0,0,0,0,56,51,17,0,Healthy
61,600,3,1,0,1,0,0,0,1,0,0,0,89,45,21,0,Needs Maintenance
59,679,6,4,1,1,0,0,0,0,0,0,0,56,38,41,1,Needs Maintenance
73,470,6,2,1,1,0,0,0,0,0,0,0,74,20,7,1,Needs Maintenance
68,433,6,4,1,1,0,0,0,0,0,0,0,54,63,21,0,Needs Maintenance
76,327,2,1,0,0,0,0,0,0,0,1,0,78,57,11,0,Healthy
69,451,3,1,1,1,0,0,1,0,0,0,0,87,61,26,0,Needs Maintenance
78,387,2,1,0,0,0,1,0,0,0,0,0,42,68,3,0,Healthy
56,704,6,4,0,0,0,0,1,0,0,0,0,67,84,43,0,Needs Maintenance
50,753,4,2,0,1,0,0,0,0,0,0,0,71,79,13,0,Critical
51,696,2,1,1,0,0,1,0,0,0,0,0,61,66,35,0,Needs Maintenance
56,738,3,3,0,1,0,0,1,0,0,1,0,83,80,36,0,Needs Maintenance
69,520,4,3,1,0,0,0,0,0,0,0,0,80,67,20,0,Needs Maintenance
87,274,5,3,1,1,0,0,0,0,0,0,0,47,63,11,1,Healthy
61,532,4,3,1,1,0,0,0,0,0,0,0,30,66,23,1,Needs Maintenance
44,802,5,2,1,1,0,1,0,0,0,0,0,55,63,35,0,Needs Maintenance
84,260,4,3,0,1,0,1,0,0,0,0,0,72,51,7,1,Healthy
68,416,10,5,1,1,0,0,0,0,0,1,0,85,73,3,1,Needs Maintenance
71,509,2,2,0,1,0,0,0,0,0,1,0,75,60,24,0,Needs Maintenance
47,871,5,2,0,1,0,1,0,0,0,1,0,73,38,27,0,Needs Maintenance
63,570,4,2,1,0,0,1,0,0,0,0,0,51,30,5,0,Needs Maintenance
45,839,9,3,1,0,0,0,0,0,0,1,0,79,57,29,0,Needs Maintenance
57,710,2,2,1,0,0,0,0,0,0,1,1,69,62,11,0,Needs Maintenance
72,472,5,1,0,1,0,0,0,0,0,0,0,66,59,21,1,Needs Maintenance
51,702,7,2,0,0,0,0,1,0,0,0,1,85,100,38,0,Needs Maintenance
59,575,4,1,0,1,0,0,0,0,0,0,0,36,48,22,0,Needs Maintenance
56,722,6,3,0,1,0,0,0,1,0,1,0,89,48,35,0,Needs Maintenance
62,633,8,3,0,1,0,1,0,0,0,1,0,63,56,26,1,Needs Maintenance
49,728,6,3,0,1,1,0,0,1,0,0,0,54,54,26,0,Critical
79,292,8,3,0,0,0,1,0,0,0,0,0,73,95,13,0,Needs Maintenance
48,804,2,1,1,1,1,0,0,0,0,0,0,61,75,40,0,Critical
50,685,2,1,0,1,0,1,0,1,0,0,0,56,22,31,0,Needs Maintenance
40,891,4,2,0,0,0,0,0,1,0,0,0,51,54,32,0,Critical
44,851,4,3,0,1,0,0,0,1,0,1,1,91,49,34,1,Needs Maintenance
56,688,4,2,1,1,0,0,0,1,0,1,0,74,71,23,0,Needs Maintenance
42,800,5,1,1,1,0,0,0,0,0,0,0,76,38,34,1,Critical
52,713,3,1,1,1,0,1,0,0,0,0,0,52,92,19,0,Needs Maintenance
55,660,2,1,1,1,0,1,0,0,0,0,0,65,53,18,1,Needs Maintenance
59,703,3,2,0,1,0,1,0,1,0,1,0,46,99,35,1,Needs Maintenance
49,759,6,3,0,0,0,0,0,0,0,0,0,78,67,32,0,Critical
40,898,5,1,1,1,1,0,0,0,0,0,0,52,90,37,0,Critical
74,376,2,1,1,0,0,0,0,0,0,0,0,35,62,24,0,Needs Maintenance
59,553,7,2,1,1,0,0,0,0,0,0,0,70,65,3,0,Needs Maintenance
57,635,7,2,1,1,0,0,1,0,0,0,0,81,73,33,1,Needs Maintenance
52,656,7,4,0,0,0,1,1,0,0,0,0,76,56,34,0,Needs Maintenance
65,541,7,2,0,1,0,1,0,0,0,0,0,76,81,20,1,Needs Maintenance
49,743,2,2,1,1,1,0,0,0,0,0,0,94,75,25,0,Critical
64,519,5,2,1,0,0,0,0,0,0,0,0,72,54,24,0,Needs Maintenance
61,528,3,1,1,1,0,0,0,0,0,1,0,58,100,18,1,Needs Maintenance
68,487,7,3,0,1,0,0,0,0,0,0,0,57,79,26,0,Needs Maintenance
62,512,4,1,1,1,0,0,1,0,0,0,0,50,63,29,0,Needs Maintenance
54,619,6,4,0,1,0,1,0,1,0,0,0,79,100,33,0,Needs Maintenance
20,1254,5,2,0,1,0,0,0,1,0,0,1,90,100,45,0,Critical
60,539,3,3,1,0,0,0,1,1,0,1,0,68,87,30,0,Needs Maintenance
65,547,6,2,0,0,0,0,0,0,0,0,0,73,65,27,0,Needs Maintenance
63,523,5,1,0,1,0,0,0,1,0,0,0,53,78,27,0,Needs Maintenance
